Demo
net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 864 K-images (13 Kilo-batches_64) 
video file: in/GH010013.MP4
Video stream: 1920 x 1440 
Objects:


FPS:0.0 	 AVG_FPS:0.0
Objects:

Flowers: 92% 	(left_x:  378   top_y:  179   width:   36   height:   24)
Flowers: 92% 	(left_x: 1798   top_y:  541   width:   34   height:   30)
Flowers: 84% 	(left_x: 1306   top_y:  455   width:   26   height:   28)
Flowers: 83% 	(left_x:  424   top_y:  188   width:   40   height:   30)
Flowers: 66% 	(left_x:  924   top_y:  679   width:   27   height:   19)
Flowers: 60% 	(left_x: 1233   top_y:  316   width:   19   height:   26)
Flowers: 58% 	(left_x:  904   top_y:  678   width:   23   height:   33)

FPS:3.0 	 AVG_FPS:0.0

 cvWriteFrame 
Objects:

Over Ripe: 100% 	(left_x:  876   top_y:  179   width:   50   height:   51)
Perfect Pink: 100% 	(left_x:  397   top_y:  690   width:   33   height:   32)
Perfect Pink: 100% 	(left_x:  572   top_y:  279   width:   40   height:   34)
Perfect Pink: 100% 	(left_x:  424   top_y:  218   width:   43   height:   32)
Light Pink: 100% 	(left_x: 1573   top_y:  139   width:   55   height:   47)
Light Pink: 100% 	(left_x: 1811   top_y:  500   width:   47   height:   36)
Light Pink: 100% 	(left_x:  165   top_y:  154   width:   67   height:   53)
Light Pink: 100% 	(left_x:  606   top_y:  709   width:   27   height:   26)
Light Pink: 100% 	(left_x:   21   top_y:  995   width:   45   height:   36)
Light Pink: 99% 	(left_x:  597   top_y:  682   width:   27   height:   29)
Light Pink: 99% 	(left_x:  749   top_y:  118   width:   46   height:   47)
Light Pink: 99% 	(left_x:  626   top_y:  687   width:   22   height:   29)
Light Pink: 90% 	(left_x:   55   top_y: 1031   width:   39   height:   36)
Buds: 98% , Light Pink: 58% 	(left_x:  738   top_y:  182   width:   33   height:   43)
Buds: 93% , Light Pink: 30% 	(left_x:  783   top_y:  187   width:   30   height:   49)
Green: 100% 	(left_x: 1674   top_y:  339   width:   30   height:   26)
Green: 100% 	(left_x:  181   top_y:  130   width:   35   height:   32)
Green: 100% 	(left_x: 1741   top_y:  248   width:   37   height:   29)
Green: 100% 	(left_x: 1708   top_y:  220   width:   35   height:   29)
Green: 100% 	(left_x: 1264   top_y:   51   width:   42   height:   29)
Green: 100% 	(left_x: 1416   top_y:  163   width:   35   height:   34)
Green: 100% 	(left_x: 1612   top_y:   79   width:   31   height:   31)
Green: 100% 	(left_x: 1330   top_y:    1   width:   31   height:   29)
Green: 99% 	(left_x: 1322   top_y:   75   width:   27   height:   25)
Green: 99% 	(left_x: 1471   top_y:   70   width:   34   height:   35)
Green: 99% 	(left_x: 1263   top_y:   99   width:   38   height:   34)
Green: 99% 	(left_x: 1305   top_y:  201   width:   30   height:   29)
Green: 99% 	(left_x: 1370   top_y:  182   width:   28   height:   28)
Green: 98% 	(left_x: 1280   top_y:   10   width:   31   height:   27)
Green: 98% 	(left_x: 1283   top_y:  225   width:   23   height:   30)
Green: 98% 	(left_x: 1355   top_y:  217   width:   26   height:   33)
Green: 98% 	(left_x: 1546   top_y:  123   width:   30   height:   37)
Green: 95% 	(left_x:  207   top_y:  132   width:   34   height:   33)
Green: 95% 	(left_x:  353   top_y:  694   width:   30   height:   31)
Green: 94% 	(left_x: 1266   top_y:   85   width:   39   height:   25)
Green: 93% 	(left_x: 1316   top_y:  116   width:   29   height:   27)
Green: 92% 	(left_x: 1392   top_y:    0   width:   27   height:   25)
Green: 86% 	(left_x: 1321   top_y:  242   width:   20   height:   26)
Green: 39% 	(left_x: 1315   top_y:  245   width:   20   height:   30)
Buds: 100% 	(left_x: 1345   top_y:  303   width:   28   height:   40)
Buds: 100% 	(left_x: 1308   top_y:  537   width:   30   height:   26)
Buds: 100% 	(left_x: 1161   top_y:  659   width:   31   height:   31)
Buds: 100% 	(left_x:  202   top_y:  744   width:   27   height:   42)
Buds: 100% 	(left_x:  641   top_y:  669   width:   32   height:   32)
Buds: 100% 	(left_x: 1179   top_y:  721   width:   22   height:   23)
Buds: 100% 	(left_x:  234   top_y:  773   width:   22   height:   29)
Buds: 100% 	(left_x:  265   top_y:  742   width:   29   height:   34)
Buds: 100% 	(left_x:  818   top_y:  710   width:   25   height:   31)
Buds: 100% 	(left_x: 1363   top_y:  415   width:   31   height:   32)
